Panchayat,Class 6 Boys,Class 6 Girls,Class 6 Total,Class 7 Boys,Class 7 Girls,Class 7 Total,Class 8 Boys,Class 8 Girls,Class 8 Total
Altabari,69,81,150,59,77,136,38,69,107
Athgachhiya,110,116,226,71,113,184,79,88,167
Bagalbari,96,115,211,105,125,230,95,105,200
Baigna,119,146,265,104,94,198,80,113,193
Baliya,254,245,499,175,182,357,166,163,329
Bandarjhula,249,246,495,142,189,331,151,159,310
Bangama,89,115,204,94,110,204,60,93,153
Barchoundi,100,146,246,90,123,213,53,82,135
Barizan Pothimari Zagir,156,134,290,116,102,218,132,139,271
Belwa,54,76,130,53,68,121,35,46,81
Besarbati,67,58,125,44,36,80,27,51,78
Bhagal,82,78,160,45,60,105,44,34,78
Bhaog Dabar,139,201,340,89,159,248,105,124,229
Bhat Gaon,105,108,213,42,62,104,47,63,110
Bhatabari,106,113,219,77,117,194,65,87,152
Bhauradah,81,119,200,71,105,176,69,115,184
Bholmara,74,88,162,74,75,149,49,67,116
Bhorha,61,43,104,28,42,70,35,52,87
Bhotathana,61,74,135,40,64,104,21,43,64
Bishanpur,38,34,72,36,42,78,37,34,71
Bualdah,120,122,242,84,103,187,75,100,175
Budhnai,158,165,323,158,178,336,130,132,262
Budhra,96,78,174,71,89,160,32,36,68
Chakla,254,231,485,197,177,374,201,151,352
Chandwar,81,118,199,82,113,195,61,124,185
Chettal,176,223,399,101,203,304,153,225,378
Chhattergachh.,142,121,263,145,151,296,126,166,292
Chikabari,106,123,229,85,131,216,109,125,234
Chilahnia,186,177,363,159,168,327,125,153,278
Churli,34,32,66,25,31,56,47,47,94
Dahibhat,73,101,174,60,95,155,57,85,142
Dak Pokhar,81,96,177,42,70,112,79,112,191
Dallegaon,154,166,320,94,112,206,106,122,228
Damalbari,68,93,161,40,48,88,50,51,101
Daula,128,169,297,101,137,238,71,107,178
Deramari,174,181,355,130,139,269,114,128,242
Desiya Toli,44,61,105,8,40,48,29,45,74
Dhabeli,60,73,133,78,66,144,38,62,100
Dhangadha,181,209,390,141,152,293,124,176,300
Dhantola,229,166,395,206,211,417,176,225,401
Dighalbank,66,97,163,51,79,130,40,62,102
Dohar,101,121,222,74,72,146,70,81,151
Doobanochi,98,108,206,115,119,234,98,106,204
Dudhoti,101,111,212,70,57,127,54,70,124
Dumaria,58,97,155,60,92,152,71,91,162
Durgapur Bangama,101,87,188,72,97,169,68,69,137
Ekra,79,124,203,96,113,209,82,103,185
Fala,86,87,173,87,96,183,63,58,121
Gachhpara,80,91,171,53,79,132,56,78,134
Gangi,40,53,93,39,55,94,16,34,50
Gargaon,120,124,244,89,95,184,58,102,160
Gorukhal,62,70,132,43,52,95,25,35,60
Gua Bari,66,77,143,56,73,129,45,90,135
Haatgaon,64,64,128,54,69,123,40,58,98
Halamala,75,109,184,55,104,159,57,101,158
Haldikhora,123,115,238,84,103,187,91,86,177
Hawakol,71,57,128,41,46,87,45,43,88
Himmatnagar,167,182,349,123,143,266,75,112,187
Jagir Padampur,142,145,287,121,129,250,71,97,168
Jahangirpur,83,87,170,36,59,95,27,39,66
Jhala,57,73,130,40,45,85,56,57,113
Jhiljhili,92,139,231,71,83,154,87,92,179
Jhingakata Istemrar,88,96,184,66,68,134,61,59,120
Jhun Ki Musahra,47,62,109,37,42,79,33,37,70
Jiran Gachh,137,145,282,120,101,221,77,106,183
Kaalpeer,93,83,176,63,60,123,83,124,207
