School Name,Panchayat,Class 6 Boys,Class 6 Girls,Class 6 Total,Class 7 Boys,Class 7 Girls,Class 7 Total,Class 8 Boys,Class 8 Girls,Class 8 Total
BASE PUBLIC SCHOOL,Bagalbari,0,0,0,0,0,0,0,0,0
MADARSA ITTEHADUL MUSLEMIN  RAHMAT PARA,Bagalbari,12,19,31,13,8,21,15,8,23
MADARSA SALIMIA MASJIDGARH,Bagalbari,0,3,3,3,2,5,2,2,4
MADARSA WAHIDIYA CHARAIYA,Bagalbari,11,15,26,3,9,12,0,7,7
MADRASA NURUL ULOOM BISANPUR DORIA,Bagalbari,12,6,18,5,5,10,14,11,25
NPS BAGALBARI HAATTOLA,Bagalbari,0,0,0,0,0,0,0,0,0
"NPS BASTAKOLA, PURAB  MOUJABARI GHATT",Bagalbari,0,0,0,0,0,0,0,0,0
NPS MASJIDGARH  POKHAR KONA,Bagalbari,0,0,0,0,0,0,0,0,0
PS BAIRBANNA,Bagalbari,0,0,0,0,0,0,0,0,0
PS BASTAKOLA BEP,Bagalbari,0,0,0,0,0,0,0,0,0
PS CHARAIYA,Bagalbari,0,0,0,0,0,0,0,0,0
PS DORIA,Bagalbari,0,0,0,0,0,0,0,0,0
SONA DEVI PS BAGALBARI  UTTARTOLA,Bagalbari,0,0,0,0,0,0,0,0,0
"UCHH MADHYAMIK VIDYALAY, BAGAL BARI",Bagalbari,0,0,0,0,0,0,0,0,0
UMS BAGALBARI,Bagalbari,27,37,64,49,40,89,26,30,56
UMS BARAHMASIA,Bagalbari,21,26,47,20,42,62,20,30,50
UMS MASJIDGARH,Bagalbari,13,9,22,12,19,31,18,17,35
UMS SINGHIA CHAKANDRA,Bagalbari,0,0,0,0,0,0,0,0,0
MADARSA TALIMUL QURAN BARIJAN DURGAPUR,Barizan Pothimari Zagir,3,5,8,10,8,18,3,6,9
MADRASA DARULULOOM  GOUSIYA RUHIYA SATBHITA,Barizan Pothimari Zagir,8,9,17,3,3,6,12,10,22
MADRASA IMDADUL MUSLEMIN BARIJAN,Barizan Pothimari Zagir,22,21,43,13,37,50,18,25,43
MS BARI JAN,Barizan Pothimari Zagir,51,69,120,32,24,56,50,68,118
NPS MALITOLA BARIJAN,Barizan Pothimari Zagir,0,0,0,0,0,0,0,0,0
NPS PACK TOLA BARIJAN,Barizan Pothimari Zagir,0,0,0,0,0,0,0,0,0
NPS SATBHITTA PURABTOLA,Barizan Pothimari Zagir,0,0,0,0,0,0,0,0,0
PA NEPLIP TOLA SATBHITTA,Barizan Pothimari Zagir,0,0,0,0,0,0,0,0,0
PS DURGAPUR,Barizan Pothimari Zagir,0,0,0,0,0,0,0,0,0
PS DURGAPUR UTTAR TOLA B.E.P,Barizan Pothimari Zagir,0,0,0,0,0,0,0,0,0
PS JHANGI DIGHI,Barizan Pothimari Zagir,0,0,0,0,0,0,0,0,0
PS PARMUKH TOLA RUHIYA,Barizan Pothimari Zagir,0,0,0,0,0,0,0,0,0
PS POTHI MARI,Barizan Pothimari Zagir,0,0,0,0,0,0,0,0,0
QURTUBA SCHOOL,Barizan Pothimari Zagir,41,0,41,31,0,31,27,0,27
UCHH MADHYAMIK VIDYALAY BARI JAN,Barizan Pothimari Zagir,0,0,0,0,0,0,0,0,0
UMS POTHI MARI JAGIR,Barizan Pothimari Zagir,0,0,0,0,0,0,0,0,0
UMS RUHIYA,Barizan Pothimari Zagir,20,18,38,16,18,34,16,20,36
UMS SATBHITTA,Barizan Pothimari Zagir,11,12,23,11,12,23,6,10,16
BADAR PUBLIC SCHOOL,Bualdah,0,0,0,0,0,0,0,0,0
MADARSATUL BANAT GARIB NAWAZ TOOPAMARI,Bualdah,2,5,7,3,9,12,8,14,22
MADRASA ISLAMIA SIRAJIA ANARKALI,Bualdah,14,11,25,10,12,22,10,17,27
MADRASA MAZIDUL ISLAM,Bualdah,11,10,21,3,6,9,2,1,3
MADRASA ZIAUL ULOOM NARKALIHAT,Bualdah,10,2,12,8,2,10,0,0,0
NPS MANDIR TOLA  ANARKALI,Bualdah,0,0,0,0,0,0,0,0,0
NPS PATHARBASTI TALBARI,Bualdah,0,0,0,0,0,0,0,0,0
P.S BUALDAH NADIPAR,Bualdah,0,0,0,0,0,0,0,0,0
PS MIRZA BAGH,Bualdah,0,0,0,0,0,0,0,0,0
"UCHH MADHYAMIK VIDYALAY, BUALDAH",Bualdah,0,0,0,0,0,0,0,0,0
UMS ANARKALI KAJALA MANI,Bualdah,19,28,47,8,10,18,18,19,37
UMS BUALDAH,Bualdah,26,29,55,24,25,49,27,38,65
UMS NEEMBASTI TUPAMARI,Bualdah,15,11,26,13,12,25,9,10,19
UMS TALBARI TUPAMARI,Bualdah,19,21,40,9,25,34,0,0,0
UMS TUPAMARI EAST,Bualdah,4,5,9,6,2,8,1,1,2
MADARSA DARUL HUDA MOUZA BARI,Deramari,15,19,34,1,14,15,0,12,12
MADARSA ITEHADUL MUSLEMIN BABHANGAWN,Deramari,6,9,15,16,3,19,10,7,17
MS DHANPURA,Deramari,0,0,0,0,0,0,0,0,0
MS MOHAN MARI,Deramari,53,76,129,51,68,119,49,52,101
NPS KARAIBARI SANTHAL TOLA,Deramari,0,0,0,0,0,0,0,0,0
P.S. DERAMARI ESTATE,Deramari,0,0,0,0,0,0,0,0,0
PARADISE PUBLIC SCHOOL,Deramari,1,3,4,0,0,0,3,1,4
PS DERA MARI,Deramari,0,0,0,0,0,0,0,0,0
PS DHANPURA PURAB TOLA,Deramari,0,0,0,0,0,0,0,0,0
PS GWALDANGI,Deramari,0,0,0,0,0,0,0,0,0
