schoolId,schoolName,lgdvillpanchayatName,blockName,classFrm,classTo,schCatDesc,schTypeDesc,schMgmtDescSt,address,boys_6_8_2023-24,boys_6_8_2024-25,c6B_2023-24,c6B_2024-25,c6G_2023-24,c6G_2024-25,c7B_2023-24,c7B_2024-25,c7G_2023-24,c7G_2024-25,c8B_2023-24,c8B_2024-25,c8G_2023-24,c8G_2024-25,girls_6_8_2023-24,girls_6_8_2024-25,total_6_8_2023-24,total_6_8_2024-25,sample_n
2499155,BASE PUBLIC SCHOOL,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),Vill- Masjidghar Bagalbari,9.0,,4.0,,1.0,,5.0,,0.0,,0.0,,0.0,,1.0,,10.0,0.0,0
2488709,MADARSA ITTEHADUL MUSLEMIN  RAHMAT PARA,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-RAHMAT PARA PO-BAGALBARI ,,40.0,,12.0,,19.0,,13.0,,8.0,,15.0,,8.0,,35.0,,75.0,22
2447309,MADARSA SALIMIA MASJIDGARH,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-MASJIGAR PO-BAGALBARI,,5.0,,0.0,,3.0,,3.0,,2.0,,2.0,,2.0,,7.0,,12.0,4
2466402,MADARSA WAHIDIYA CHARAIYA,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-CHARAIYA POWER HOUSE BAGAL BARI Ps -kochadhaman,,14.0,,11.0,,15.0,,3.0,,9.0,,0.0,,7.0,,31.0,,45.0,13
2432205,MADRASA NURUL ULOOM BISANPUR DORIA,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-DORIA PO-BISHANPUR KOCHADHAMAN,,31.0,,12.0,,6.0,,5.0,,5.0,,14.0,,11.0,,22.0,,53.0,16
2425739,UMS BAGALBARI,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,"AT-BAGALBARI, PO-BAGALBARI, BLOCK-KOCHADHAMAN, DISTRICT-KISHANGANJ,BIHAR",,102.0,,27.0,,37.0,,49.0,,40.0,,26.0,,30.0,,107.0,,209.0,62
2479235,UMS BARAHMASIA,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-BARAHMASIA PO-BAGALBARI ,,61.0,,21.0,,26.0,,20.0,,42.0,,20.0,,30.0,,98.0,,159.0,47
2468123,UMS MASJIDGARH,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,masjid garah po-bagal bari kochadhaman,,43.0,,13.0,,9.0,,12.0,,19.0,,18.0,,17.0,,45.0,,88.0,26
2479239,UMS SINGHIA CHAKANDRA,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-SINGHAIA CHAKANDRA PO-BAGALBARI,70.0,,25.0,,33.0,,31.0,,39.0,,14.0,,24.0,,96.0,,166.0,0.0,0
2499269,MADARSA TALIMUL QURAN BARIJAN DURGAPUR,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),Vill- BARIJAN DURGAPUR,,16.0,,3.0,,5.0,,10.0,,8.0,,3.0,,6.0,,19.0,,35.0,10
2421292,MADRASA DARULULOOM  GOUSIYA RUHIYA SATBHITA,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-RUHIYA SATBHITTA KOCHADHAMAN,,23.0,,8.0,,9.0,,3.0,,3.0,,12.0,,10.0,,22.0,,45.0,13
2425041,MADRASA IMDADUL MUSLEMIN BARIJAN,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-BARIJAN PO-BARIJAN KOCHADHAMAN,,53.0,,22.0,,21.0,,13.0,,37.0,,18.0,,25.0,,83.0,,136.0,41
2458955,MS BARI JAN,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-BARIJAN HIGH SCHOOL BARIAJAN ,,133.0,,51.0,,69.0,,32.0,,24.0,,50.0,,68.0,,161.0,,294.0,88
2503502,QURTUBA SCHOOL,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),"Qurtub Campus, Ruhiya, Kashibari, Kochadamin, Kishanganj, Bihar",,99.0,,41.0,,0.0,,31.0,,0.0,,27.0,,0.0,,0.0,,99.0,29
2413298,UMS POTHI MARI JAGIR,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,POHIMARI JAGIR KOCHADHAMAN,38.0,,15.0,,17.0,,13.0,,6.0,,10.0,,14.0,,37.0,,75.0,0.0,0
2412448,UMS RUHIYA,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-RUHIA PO-BARIJAN KOCHADHAMAN,,52.0,,20.0,,18.0,,16.0,,18.0,,16.0,,20.0,,56.0,,108.0,32
2410986,UMS SATBHITTA,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,at-satbhitta BARIJAN KOCHADHAMAN,,28.0,,11.0,,12.0,,11.0,,12.0,,6.0,,10.0,,34.0,,62.0,18
2464706,MADARSATUL BANAT GARIB NAWAZ TOOPAMARI,Bualdah,KOCHADHAMAN,1,10,Pr. Up Pr. and Secondary Only,3-Co-educational,Madarsa Private Unaided(Recognized),AT-TUPAMARI WEST KOCHADHAMAN,,13.0,,2.0,,5.0,,3.0,,9.0,,8.0,,14.0,,28.0,,41.0,12
2470228,MADRASA ISLAMIA SIRAJIA ANARKALI,Bualdah,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-ANARKALI KAJLAMANI TUPAMARI ,,34.0,,14.0,,11.0,,10.0,,12.0,,10.0,,17.0,,40.0,,74.0,22
2493551,MADRASA MAZIDUL ISLAM,Bualdah,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT- Mirzabagh Po- Kashibari Hat,,16.0,,11.0,,10.0,,3.0,,6.0,,2.0,,1.0,,17.0,,33.0,10
