schoolId,udiseschCode,schoolName,blockName,lgdvillpanchayatName,villageName,schCatDesc,schTypeDesc,schMgmtDescSt,classFrm,classTo,schLocRuralUrban,address
2499155,******01503,BASE PUBLIC SCHOOL,KOCHADHAMAN,Bagalbari,MASJID GARH,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),1,8,1,Vill- Masjidghar Bagalbari
2488709,******00502,MADARSA ITTEHADUL MUSLEMIN  RAHMAT PARA,KOCHADHAMAN,Bagalbari,DAKO PARA,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-RAHMAT PARA PO-BAGALBARI 
2447309,******01502,MADARSA SALIMIA MASJIDGARH,KOCHADHAMAN,Bagalbari,MASJID GARH,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-MASJIGAR PO-BAGALBARI
2466402,******03802,MADARSA WAHIDIYA CHARAIYA,KOCHADHAMAN,Bagalbari,CHARAIYA,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-CHARAIYA POWER HOUSE BAGAL BARI Ps -kochadhaman
2432205,******07602,MADRASA NURUL ULOOM BISANPUR DORIA,KOCHADHAMAN,Bagalbari,DORIA,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-DORIA PO-BISHANPUR KOCHADHAMAN
2477006,******01803,NPS BAGALBARI HAATTOLA,KOCHADHAMAN,Bagalbari,BAGAL BARI,Primary,3-Co-educational,Department of Education,1,5,1,AT-BAGALBARI HAT TOLA KOCHADHAMAN
2466593,******14201,"NPS BASTAKOLA, PURAB  MOUJABARI GHATT",KOCHADHAMAN,Bagalbari,BASTAKLOLA,Primary,3-Co-educational,Department of Education,1,5,1,AT-BASTAKOLA PURAB BAGALBARI 
2480664,******19701,NPS MASJIDGARH  POKHAR KONA,KOCHADHAMAN,Bagalbari,POKHAR KONA,Primary,3-Co-educational,Department of Education,1,5,1,MASJIDGARH POKHAR KONA BAGALBARI 
2477585,******03803,PS BAIRBANNA,KOCHADHAMAN,Bagalbari,CHARAIYA,Primary,3-Co-educational,Department of Education,1,5,1,AT-BAIRABBANA BAGALBARI 
2412450,******12301,PS BASTAKOLA BEP,KOCHADHAMAN,Bagalbari,BASTAKOLA,Primary,3-Co-educational,Department of Education,1,5,1,AT-BASTA KOLA BEP BAGALBARI 
2458523,******03801,PS CHARAIYA,KOCHADHAMAN,Bagalbari,CHARAIYA,Primary,3-Co-educational,Department of Education,1,5,1,AT-CHARAIYA PO-BAGALBARI
2415491,******07601,PS DORIA,KOCHADHAMAN,Bagalbari,DORIA,Primary,3-Co-educational,Department of Education,1,5,1,AT-DORIA PO-BISHANPUR KOCHADHAMAN
2453948,******01802,SONA DEVI PS BAGALBARI  UTTARTOLA,KOCHADHAMAN,Bagalbari,BAGAL BARI,Primary,3-Co-educational,Department of Education,1,5,1,AT-SONA DEVI PS BAGALBARI UTTAR TOLA 
2498271,******01804,"UCHH MADHYAMIK VIDYALAY, BAGAL BARI",KOCHADHAMAN,Bagalbari,BAGAL BARI,Secondary with Higher Secondary,3-Co-educational,Department of Education,9,12,1,"UCHH MADHYAMIK VIDYALAY, BAGAL BARI "
2425739,******01801,UMS BAGALBARI,KOCHADHAMAN,Bagalbari,BAGAL BARI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,"AT-BAGALBARI, PO-BAGALBARI, BLOCK-KOCHADHAMAN, DISTRICT-KISHANGANJ,BIHAR"
2479235,******03901,UMS BARAHMASIA,KOCHADHAMAN,Bagalbari,BARAH MASIA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-BARAHMASIA PO-BAGALBARI 
2468123,******01501,UMS MASJIDGARH,KOCHADHAMAN,Bagalbari,MASJID GARH,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,masjid garah po-bagal bari kochadhaman
2479239,******19601,UMS SINGHIA CHAKANDRA,KOCHADHAMAN,Bagalbari,SINGHIA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-SINGHAIA CHAKANDRA PO-BAGALBARI
