schoolId,udiseschCode,schoolName,blockName,lgdvillpanchayatName,villageName,schCatDesc,schTypeDesc,schMgmtDescSt,classFrm,classTo,schLocRuralUrban,address
2499269,******05703,MADARSA TALIMUL QURAN BARIJAN DURGAPUR,KOCHADHAMAN,Barizan Pothimari Zagir,BARIJAN,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,Vill- BARIJAN DURGAPUR
2421292,******05102,MADRASA DARULULOOM  GOUSIYA RUHIYA SATBHITA,KOCHADHAMAN,Barizan Pothimari Zagir,RUHIYA,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-RUHIYA SATBHITTA KOCHADHAMAN
2425041,******05702,MADRASA IMDADUL MUSLEMIN BARIJAN,KOCHADHAMAN,Barizan Pothimari Zagir,BARIJAN,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-BARIJAN PO-BARIJAN KOCHADHAMAN
2458955,******05701,MS BARI JAN,KOCHADHAMAN,Barizan Pothimari Zagir,BARIJAN,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-BARIJAN HIGH SCHOOL BARIAJAN 
2478499,******20401,NPS MALITOLA BARIJAN,KOCHADHAMAN,Barizan Pothimari Zagir,MALITOLA,Primary,3-Co-educational,Department of Education,1,5,1,MALI TOLA BARIJAN PO0-BARIJAN KOCHADAMAN
2479972,******14401,NPS PACK TOLA BARIJAN,KOCHADHAMAN,Barizan Pothimari Zagir,PACK TOLA,Primary,3-Co-educational,Department of Education,1,5,1,PAICK TOLA BARIJAN KOCHDHAMAN
2425908,******16001,NPS SATBHITTA PURABTOLA,KOCHADHAMAN,Barizan Pothimari Zagir,BAGHMARA,Primary,3-Co-educational,Department of Education,1,5,1,SATBITTA PURAB TOLA BARIJAN 
2432103,******04902,PA NEPLIP TOLA SATBHITTA,KOCHADHAMAN,Barizan Pothimari Zagir,SAT BHITTA,Primary,3-Co-educational,Department of Education,1,5,1,PS NEPALIA TOLA SATBHITTA KOCHADHAMAN
2421490,******02001,PS DURGAPUR,KOCHADHAMAN,Barizan Pothimari Zagir,DURGA PUR,Primary,3-Co-educational,Department of Education,1,5,1,PS DURGAPUR BARIJAN KOCHADHAMN
2411704,******12201,PS DURGAPUR UTTAR TOLA B.E.P,KOCHADHAMAN,Barizan Pothimari Zagir,BARIJAN,Primary,3-Co-educational,Department of Education,1,5,1,DURGAPUR UTTAR TOLA BEP KOCHA
2434353,******11501,PS JHANGI DIGHI,KOCHADHAMAN,Barizan Pothimari Zagir,JHANGI DIGHI,Primary,3-Co-educational,Department of Education,1,5,1,AT-JHANGHI DHIGHI KOCHADHAMAN
2458022,******04903,PS PARMUKH TOLA RUHIYA,KOCHADHAMAN,Barizan Pothimari Zagir,SAT BHITTA,Primary,3-Co-educational,Department of Education,1,5,1,PARMUKH TOLA RUHIYA KOCHADHAMAN
2490365,******08101,PS POTHI MARI,KOCHADHAMAN,Barizan Pothimari Zagir,POTHI MARI,Primary,3-Co-educational,Department of Education,1,5,1,AT-POTHIMARI SONTHA KOCHADHAMAN
2503502,******05103,QURTUBA SCHOOL,KOCHADHAMAN,Barizan Pothimari Zagir,RUHIYA,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),1,8,1,"Qurtub Campus, Ruhiya, Kashibari, Kochadamin, Kishanganj, Bihar"
2501769,******05704,UCHH MADHYAMIK VIDYALAY BARI JAN,KOCHADHAMAN,Barizan Pothimari Zagir,BARIJAN,Secondary with Higher Secondary,3-Co-educational,Department of Education,9,12,1,Barijan Kashibari Hat Barijan Kashibari Hat
2413298,******01104,UMS POTHI MARI JAGIR,KOCHADHAMAN,Barizan Pothimari Zagir,GAMHARIA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,POHIMARI JAGIR KOCHADHAMAN
2412448,******05101,UMS RUHIYA,KOCHADHAMAN,Barizan Pothimari Zagir,RUHIYA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-RUHIA PO-BARIJAN KOCHADHAMAN
2410986,******04901,UMS SATBHITTA,KOCHADHAMAN,Barizan Pothimari Zagir,SAT BHITTA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,at-satbhitta BARIJAN KOCHADHAMAN
