schoolId,udiseschCode,schoolName,blockName,lgdvillpanchayatName,villageName,schCatDesc,schTypeDesc,schMgmtDescSt,classFrm,classTo,schLocRuralUrban,address
2403832,******02304,BADAR PUBLIC SCHOOL,KOCHADHAMAN,Bualdah,ANAR KALI,Primary,3-Co-educational,Unrecognized,1,5,1,ANARKALI KOCHADHAMAN KISHANGANJ
2464706,******02204,MADARSATUL BANAT GARIB NAWAZ TOOPAMARI,KOCHADHAMAN,Bualdah,TUPA MARI,Pr. Up Pr. and Secondary Only,3-Co-educational,Madarsa Private Unaided(Recognized),1,10,1,AT-TUPAMARI WEST KOCHADHAMAN
2470228,******02302,MADRASA ISLAMIA SIRAJIA ANARKALI,KOCHADHAMAN,Bualdah,ANAR KALI,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-ANARKALI KAJLAMANI TUPAMARI 
2493551,******02702,MADRASA MAZIDUL ISLAM,KOCHADHAMAN,Bualdah,MIRZA BAGBOAL DAH,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT- Mirzabagh Po- Kashibari Hat
2477773,******05603,MADRASA ZIAUL ULOOM NARKALIHAT,KOCHADHAMAN,Bualdah,DHANPURA,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-NARKALI HAT KOCHADHAMAN
2472629,******02303,NPS MANDIR TOLA  ANARKALI,KOCHADHAMAN,Bualdah,ANAR KALI,Primary,3-Co-educational,Department of Education,1,5,1,MANDIR TOLA ANARKALI KAJLAMANI
2478500,******20501,NPS PATHARBASTI TALBARI,KOCHADHAMAN,Bualdah,PATHARBASTI,Primary,3-Co-educational,Department of Education,1,5,1,AT-PTHAR BASTI NEEMBASTI KOCHADHAMAN
2432666,******11902,P.S BUALDAH NADIPAR,KOCHADHAMAN,Bualdah,BUALDAH,Primary,3-Co-educational,Department of Education,1,5,1,AT-BUALDAH NADIPAR BARIJAN 
2426418,******02701,PS MIRZA BAGH,KOCHADHAMAN,Bualdah,MIRZA BAGBOAL DAH,Primary,3-Co-educational,Department of Education,1,5,1,AT-MIRZABAG KOCHADHAMAN 
2498275,******11904,"UCHH MADHYAMIK VIDYALAY, BUALDAH",KOCHADHAMAN,Bualdah,BUALDAH,Secondary with Higher Secondary,3-Co-educational,Department of Education,9,12,1,"Upgraded High School Anarkali Kajlamani Bualdah, Kochadhaman, Kishanganj"
2433628,******02101,UMS ANARKALI KAJALA MANI,KOCHADHAMAN,Bualdah,ANARKALI KAJALA MANI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-ANARKALI KAJLA MANI PO-KOCHADHAMAN 
2426330,******11901,UMS BUALDAH,KOCHADHAMAN,Bualdah,BUALDAH,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-BUALDAH PO-BARIJAN KOCHADHAMN
2410213,******02501,UMS NEEMBASTI TUPAMARI,KOCHADHAMAN,Bualdah,TUPAMARI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-TALBARI TUPAMARI PO-KASHIBARI HAT
2453591,******02201,UMS TALBARI TUPAMARI,KOCHADHAMAN,Bualdah,TUPA MARI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-TALBARI TUPAMARI KOCHADHAMAN
2421016,******02203,UMS TUPAMARI EAST,KOCHADHAMAN,Bualdah,TUPA MARI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-TUPAMARI EST PO-KASHIBARI HAT
