schoolId,udiseschCode,schoolName,blockName,lgdvillpanchayatName,villageName,schCatDesc,schTypeDesc,schMgmtDescSt,classFrm,classTo,schLocRuralUrban,address
2413300,******01903,MADARSA DARUL HUDA MOUZA BARI,KOCHADHAMAN,Deramari,MAUZA BARI,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-MAUJABARI PO-MAUJABARI KOCHADHAMAN
2403831,******01002,MADARSA ITEHADUL MUSLEMIN BABHANGAWN,KOCHADHAMAN,Deramari,BABHANGAWN,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,at-babhangawn maujabari kochadhaman
2437308,******05601,MS DHANPURA,KOCHADHAMAN,Deramari,DHANPURA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-DHANPURA KOCHADHAMAN 
2448218,******05801,MS MOHAN MARI,KOCHADHAMAN,Deramari,MOHARMARI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-MOHANMARI PO-BAGALBARI 
2422996,******00302,NPS KARAIBARI SANTHAL TOLA,KOCHADHAMAN,Deramari,KASHIBARI SANTHAL,Primary,3-Co-educational,Department of Education,1,5,1,AT-KARAIBARI SANTHAL TOLA KOCHADHAMAN
2453949,******05502,P.S. DERAMARI ESTATE,KOCHADHAMAN,Deramari,DERAMARI,Primary,3-Co-educational,Department of Education,1,5,1,AT-DERAMARI STATE KOCHADHAMAN
2499194,******05604,PARADISE PUBLIC SCHOOL,KOCHADHAMAN,Deramari,DHANPURA,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),1,8,1,Vill- Dhanpura Deramari
2421492,******05501,PS DERA MARI,KOCHADHAMAN,Deramari,DERAMARI,Primary,3-Co-educational,Department of Education,1,5,1,PS DERAMARI KOCHADHAMAN 
2421491,******02002,PS DHANPURA PURAB TOLA,KOCHADHAMAN,Deramari,DURGA PUR,Primary,3-Co-educational,Department of Education,1,5,1,AT-DHANPURA PURAB TOLA DHANPURA 
2469842,******13801,PS GWALDANGI,KOCHADHAMAN,Deramari,GWAL DANGI,Primary,3-Co-educational,Department of Education,1,5,1,AT-GWALDANGI PO-DERAMARI KOCHADHAMAN
2421495,******13001,PS KHOPIYAPAR,KOCHADHAMAN,Deramari,KHOPIYAPAR MOJABARI,Primary,3-Co-educational,Department of Education,1,5,1,AT-KHOPIYAPAR MAUJABARI KOCHADHAMAN
2486257,******05505,SHAMS REZA PUBLIC SCHOOL,KOCHADHAMAN,Deramari,DERAMARI,Primary with Upper Primary,3-Co-educational,Unrecognized,1,8,1,dhanpura kochadhamank
2501767,******05605,UCHH MADHYAMIK VIDYALAY DHANPURA,KOCHADHAMAN,Deramari,DHANPURA,Secondary with Higher Secondary,3-Co-educational,Department of Education,9,12,1,Dhanpura Deramari Dhanpura Deramari
2410985,******01001,UMS BABHANGAWN,KOCHADHAMAN,Deramari,BABHANGAWN,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,at- bhabhan gawn kochadhaman
2413297,******00301,UMS KASHI BARI SANTHAL TOLA,KOCHADHAMAN,Deramari,KASHIBARI SANTHAL,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-Kashibari santhal tola Kochadhaman
2460513,******01901,UMS MAUJA BARI,KOCHADHAMAN,Deramari,MAUZA BARI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-MAUJABARI PO-BAGALBARI KOCHADHAMAN
