schoolId,udiseschCode,schoolName,blockName,lgdvillpanchayatName,villageName,schCatDesc,schTypeDesc,schMgmtDescSt,classFrm,classTo,schLocRuralUrban,address
2483234,******02904,GOLDEN PUBLIC SCHOOL,KOCHADHAMAN,Kamalpur,KASHI BARI,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),1,8,1,TUPAMARI GOLDEN PUBLIC SCHOOL 
2467353,******20001,JAMRUD HASNAIN URDU GIRLS PRIMARY SHOOL AITA,KOCHADHAMAN,Kamalpur,UTTARTOLA ALTA,Primary,3-Co-educational,Department of Education,1,5,1,AT-ALTA HAT PS-KOCHADHAMAN KISHANGANJ
2442374,******05903,"KARKUN LAL MHIGH SCHOOL,SONTHA",KOCHADHAMAN,Kamalpur,ALTA,Secondary with Higher Secondary,3-Co-educational,Department of Education,9,12,1,Alta hat po alta hat kochadhaman
2491835,******05902,MADARSA ISLAHUL MUSLEMEEN ALTA,KOCHADHAMAN,Kamalpur,ALTA,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,"AT- ALTA, POST- ALTA HAT, THANA- KOCHADHAMAN, DIST- KISHANGANJ"
2470184,******12002,MADARSA ITTHADIYA BURHIMARI,KOCHADHAMAN,Kamalpur,BURHIMARI,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-BURHIMARI MOHAMMADPUR KOCHADHAMAN
2469941,******01202,MADARSA KARIMIA KAMALPUR,KOCHADHAMAN,Kamalpur,KAMAL PUR,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-KAMALPUR ALTA KOCHADHAMAN
2475725,******05402,MADARSA MUJFFRUL ISLAM KALANAJIN MANSURA,KOCHADHAMAN,Kamalpur,KALA NAGIN,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-KAJLAMANI MANSOORA 
2436182,******02903,MADRASA HIFAZATUL ISLAM KASHIBARI,KOCHADHAMAN,Kamalpur,KASHI BARI,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,Madarsa Private Unaided(Recognized),1,12,1,KASHIBARI HAT PO-KASHIBARI KOCHADHAMAN
2491109,******05901,MS ALTA HAT,KOCHADHAMAN,Kamalpur,ALTA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,"AT-ALTA HAT, PO- ALTA HAT, PS- KOCHADHAMAN, DIST- KISHANGANJ"
2488204,******01204,NPS KAMALPUR RAZBANSI TOLA,KOCHADHAMAN,Kamalpur,KAMAL PUR,Primary,3-Co-educational,Department of Education,1,5,1,AT-KAMLAPUR RAJBANSI TOLA KOCHADHAMAN
2423000,******11403,NPS KASHIBARI,KOCHADHAMAN,Kamalpur,BALIA,Primary,3-Co-educational,Department of Education,1,5,1,KASHIBARI BALIA KOCHADHAMAN
2410989,******12901,NPS MOTIPUR,KOCHADHAMAN,Kamalpur,MOTI PUR,Primary,3-Co-educational,Department of Education,1,5,1,AT-MOTIPUR ALTA KAMALPUR KOCHADHAMAN
2448080,******12001,PS BUDHIMARI,KOCHADHAMAN,Kamalpur,BURHIMARI,Primary,3-Co-educational,Department of Education,1,5,1,AT-BURHIMARI NAJARPUR
2487517,******01201,PS KAMALPUR,KOCHADHAMAN,Kamalpur,KAMAL PUR,Primary,3-Co-educational,Department of Education,1,5,1,AT-KAMALPUR ALTA HAT KOCHADHAMAN
2447863,******01203,PS KAMALPUR PURAB TOLA,KOCHADHAMAN,Kamalpur,KAMAL PUR,Primary,3-Co-educational,Department of Education,1,5,1,AT-KAMLAPUR PURAB TOLA ALTA KOCHADHAMAN
2466307,******02901,PS KASHI BARI,KOCHADHAMAN,Kamalpur,KASHI BARI,Primary,3-Co-educational,Department of Education,1,5,1,AT-KASHIBARI TOLA KOCHADHAMAN
2451240,******01703,SHAUKAT ALI NPS NAYEEM TOLA KASHIBARI,KOCHADHAMAN,Kamalpur,KASHIBARI KARBALLA,Primary,3-Co-educational,Department of Education,1,5,1,AT-NAEEM TOLA KASHIBARI KOCHADHAMAN
2443027,******01106,U.M.S BUDHIMARI PACHIM BHAG,KOCHADHAMAN,Kamalpur,GAMHARIA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-BUDHIMARI PASCHIM BHAG ALTA HAT
2421494,******12801,UMS BHOPLA,KOCHADHAMAN,Kamalpur,DAKETAMARI KASHIBARI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,"AT- BHOPLA, PO- ALTA HAT, PS- KOCHADHAMAN, DIST- KISHANGANJ"
2480822,******00501,UMS DAKO PARA,KOCHADHAMAN,Kamalpur,DAKO PARA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-DAKOPARA RAHMAT PARA KOCHADHAMAN
2414885,******05401,UMS KALANAGIN,KOCHADHAMAN,Kamalpur,KALA NAGIN,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,at-kalanagin alta hat kochadhaman
2421203,******01701,UMS KASHIBARI KARBALLA,KOCHADHAMAN,Kamalpur,KASHIBARI KARBALLA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-KASHIBARI KARBALA ALTA KOCHADHAMAN
2437416,******01301,UMS KAUA URA,KOCHADHAMAN,Kamalpur,KAUA URA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,At-kaua ura po-alta kochadhaman
