schoolId,udiseschCode,schoolName,blockName,lgdvillpanchayatName,villageName,schCatDesc,schTypeDesc,schMgmtDescSt,classFrm,classTo,schLocRuralUrban,address
2458864,******05303,MADARSA HIFZUL AQUE DUL HAQQUA KANHIYABARI,KOCHADHAMAN,Mazgama,KANAHAIYA BARI,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-KANHAIYA BARI PO KANHAIYABARI 
2476353,******05602,MADARSA SHARFULULUM NURPUR MAHIYARPUR,KOCHADHAMAN,Mazgama,DHANPURA,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-MAHIYARPUR PO-KANHAIYABARI 
2486131,******04204,MODERN ACADEMY,KOCHADHAMAN,Mazgama,MAHIYAR PUR,Primary with Upper Primary,3-Co-educational,Unrecognized,1,8,1,MODARACADMY KOCHADHAMAN 
2458524,******04203,MODERN PUBLIC SCHOOL,KOCHADHAMAN,Mazgama,MAHIYAR PUR,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),1,8,1,MODER PUBLIC SCHOOL KANHAIYABARI MAHIYARPUR
2491108,******05301,MS KANHAIYABARI,KOCHADHAMAN,Mazgama,KANAHAIYA BARI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-KANHAIYABARI PO-KANHAIYABARI KOCHADHAMAN
2479967,******04802,NPS DAKSHINTOLA RANGAMANI,KOCHADHAMAN,Mazgama,RANGA MANI,Primary,3-Co-educational,Department of Education,1,5,1,AT-DAKSHIN TOLA RANGAMANI PO-KANHAYABARI
2421108,******06902,NPS MAJGAMA DAKSHIN TOLA,KOCHADHAMAN,Mazgama,KOCHGADH PURANDAHA,Primary,3-Co-educational,Department of Education,1,5,1,MAJGAMA DAKSHIN TOLA KANHAIBARI
2503016,******05307,UCHH MADHYAMIK VIDYALAY KANHAIYABARI,KOCHADHAMAN,Mazgama,KANAHAIYA BARI,Secondary with Higher Secondary,3-Co-educational,Department of Education,9,12,1,Kanhaiyabari Kanhaiyabari
2455064,******04301,UMS DINGSOL,KOCHADHAMAN,Mazgama,DING SOL,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-DINGSOL KANHAIYABARI KOCHADHAMAN
2479965,******04201,UMS MAHIYAR PUR,KOCHADHAMAN,Mazgama,MAHIYAR PUR,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-MAHIYAR PUR KANHAIYABARI 
2456546,******05001,UMS MAJGAMA,KOCHADHAMAN,Mazgama,MAZGAMA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-MAJGAMA PO-KANHAIBARI KOCHADHAMAN
2456545,******02902,UMS MAJGAMA TOLA KASHIBARI,KOCHADHAMAN,Mazgama,KASHI BARI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-MAJGAMA TOLA KASHIBARI 
2459000,******02801,UMS PARIHALPUR,KOCHADHAMAN,Mazgama,PARIHAL PUR,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,at-parihalpur kashibarihat kocha
2479966,******04801,UMS RANGAMANI,KOCHADHAMAN,Mazgama,RANGA MANI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-RANGAMANI PO-KANHAIYABARI
