schoolId,udiseschCode,schoolName,blockName,lgdvillpanchayatName,villageName,schCatDesc,schTypeDesc,schMgmtDescSt,classFrm,classTo,schLocRuralUrban,address
2446778,******04403,MADARSA CHAMANE MUSTAFA TEGHARIA,KOCHADHAMAN,Tegharia,TEGHARIA,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-TEGHARIA PO-GANGHI HAT KOCHADHAMN
2464892,******00202,MADARSA MADARSATUL QUARAN DHANPURA,KOCHADHAMAN,Tegharia,BAHICHA KUTTI,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,AT-DHANPURA PO-DHANPURA 
2476663,******04502,MADARSA MAHBOOBIA HATGACHHI GAURAMANI,KOCHADHAMAN,Tegharia,GAURA MANI,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,at-hatgachhi gauramani po-ganghi hat 
2432867,******04402,MADARSA MUFIDUL ISLAM TEGHARIA,KOCHADHAMAN,Tegharia,TEGHARIA,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),1,8,1,ISLAM TEGHARIAYA PO-GANGHI HAT 
2421202,******00203,NPS BIRUWA CHURA KUTTI,KOCHADHAMAN,Tegharia,BAHICHA KUTTI,Primary,3-Co-educational,Department of Education,1,5,1,AT-BIRWACHURAKUTTI PATKIOAHAT 
2432869,******04405,PS DAKSHINTOLA TEGHARIA,KOCHADHAMAN,Tegharia,TEGHARIA,Primary,3-Co-educational,Department of Education,1,5,1,DAKSHIN TOLA TEGHARIA KANHAIYABARI
2490364,******04601,PS HARUWA DANGA,KOCHADHAMAN,Tegharia,HARUWADANGA,Primary,3-Co-educational,Department of Education,1,5,1,AT-HARUWA DENGA GANGHI HAT 
2410990,******13701,PS HATGACHHI GORAMANI,KOCHADHAMAN,Tegharia,HATGACHHI GORAMANI,Primary,3-Co-educational,Department of Education,1,5,1,AT-HATGACHI GAURAMANI GANGHI HAT 
2446779,******04503,PS NAZIRTOLA GORAMANI,KOCHADHAMAN,Tegharia,GAURA MANI,Primary,3-Co-educational,Department of Education,1,5,1,at-najir tola gauramani gangi hat 
2414790,******04504,PS PURABTOLA HARWADANGA,KOCHADHAMAN,Tegharia,GAURA MANI,Primary,3-Co-educational,Department of Education,1,5,1,AT-HARWADANGA PO-GANGI HAT 
2432868,******04404,PS UTTARTOLA TEGHARIA,KOCHADHAMAN,Tegharia,TEGHARIA,Primary,3-Co-educational,Department of Education,1,5,1,AT-UTTAR TOLA TEGHARIA PO-GANGI HAT 
2498279,******04407,"UCHH MADHYAMIK VIDYALAY, TEGHARIA",KOCHADHAMAN,Tegharia,TEGHARIA,Secondary with Higher Secondary,3-Co-educational,Department of Education,9,12,1,"Upgraded High School Bahichakutti Tegharia, Kochadhaman, Kishanganj"
2467352,******13601,UMS ALTABARI KHURD,KOCHADHAMAN,Tegharia,ALTABARI KHURD,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-ALTABARI KHURD GAURAMANI 
2411702,******00201,UMS BAHICHA KUTTI,KOCHADHAMAN,Tegharia,BAHICHA KUTTI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-BAHICHAKUTTI PO-DHANPURA 
2432870,******04701,UMS CHURA KUTTI,KOCHADHAMAN,Tegharia,CHURA KUTTI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-CHURAKUTTI PO-GANGHI HAT
2453592,******04501,UMS GAURAMANI,KOCHADHAMAN,Tegharia,GAURA MANI,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-GAURAMANI PO -GANGI HAT
2454636,******04401,UMS TEGHARIA,KOCHADHAMAN,Tegharia,TEGHARIA,Primary with Upper Primary,3-Co-educational,Department of Education,1,8,1,AT-TEGHARIA POGANGHI HAT KOCHADHAMAN
