School Name,Panchayat,Block,Management,Class From,Class To,Class 9 Boys 2023-24,Class 9 Girls 2023-24,Class 9 Total 2023-24,Class 10 Boys 2023-24,Class 10 Girls 2023-24,Class 10 Total 2023-24,Class 9 Boys 2024-25,Class 9 Girls 2024-25,Class 9 Total 2024-25,Class 10 Boys 2024-25,Class 10 Girls 2024-25,Class 10 Total 2024-25,2023-24 Data Reported,2024-25 Data Reported,"Dropout Boys (Cl.9 -> Cl.10, 2024-25)","Dropout Girls (Cl.9 -> Cl.10, 2024-25)","Dropout Total (Cl.9 -> Cl.10, 2024-25)","Dropout Rate % (Cl.9 -> Cl.10, 2024-25)","SSLC Passout Proxy (Class 10 Total, 2024-25)"
BASE PUBLIC SCHOOL,Bagalbari,KOCHADHAMAN,Pvt. Unaided (Recognized),1,8,0,0,0,0,0,0,0,0,0,0,0,0,True,False,0,0,0,,0
MADARSA ITTEHADUL MUSLEMIN  RAHMAT PARA,Bagalbari,KOCHADHAMAN,Madarsa Private Unaided(Recognized),1,8,0,0,0,0,0,0,0,0,0,0,0,0,False,True,0,0,0,,0
MADARSA SALIMIA MASJIDGARH,Bagalbari,KOCHADHAMAN,Madarsa Private Unaided(Recognized),1,8,0,0,0,0,0,0,0,0,0,0,0,0,False,True,0,0,0,,0
MADARSA WAHIDIYA CHARAIYA,Bagalbari,KOCHADHAMAN,Madarsa Private Unaided(Recognized),1,8,0,0,0,0,0,0,0,0,0,0,0,0,False,True,0,0,0,,0
MADRASA NURUL ULOOM BISANPUR DORIA,Bagalbari,KOCHADHAMAN,Madarsa Private Unaided(Recognized),1,8,0,0,0,0,0,0,0,0,0,0,0,0,False,True,0,0,0,,0
NPS BAGALBARI HAATTOLA,Bagalbari,KOCHADHAMAN,Department of Education,1,5,0,0,0,0,0,0,0,0,0,0,0,0,False,True,0,0,0,,0
"NPS BASTAKOLA, PURAB  MOUJABARI GHATT",Bagalbari,KOCHADHAMAN,Department of Education,1,5,0,0,0,0,0,0,0,0,0,0,0,0,True,False,0,0,0,,0
NPS MASJIDGARH  POKHAR KONA,Bagalbari,KOCHADHAMAN,Department of Education,1,5,0,0,0,0,0,0,0,0,0,0,0,0,False,True,0,0,0,,0
PS BAIRBANNA,Bagalbari,KOCHADHAMAN,Department of Education,1,5,0,0,0,0,0,0,0,0,0,0,0,0,False,True,0,0,0,,0
PS BASTAKOLA BEP,Bagalbari,KOCHADHAMAN,Department of Education,1,5,0,0,0,0,0,0,0,0,0,0,0,0,False,True,0,0,0,,0
