totalBoy,totalGirl,totalCount,totalTeacherCon,totalTeacherReg,totalTeacherMale,totalTeacherFemale,schoolId,yearId,stateId,districtId,districtName,blockId,blockName,schoolName
105,95,200,0,3,3,0,2443968,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS SHERSHAH VADI TOLA SATKAUWA
40,45,85,0,2,1,1,2451716,10,110,2008,KISHANGANJ,20097,POTHIA,PS  SHEKHPURA
92,135,227,0,3,3,0,2475817,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS SHERSHAHWADI MOHAMARI
55,46,101,0,2,1,1,2478492,10,110,2008,KISHANGANJ,20100,BAHADURGANJ,P.S SINGHIA DULALI - II
53,70,123,0,5,3,2,2456528,10,110,2008,KISHANGANJ,20095,KISHANGANJ,PS SINGHIA SULTANPUR
48,54,102,0,3,2,1,2465693,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS SINGHIMARI MILIK
58,49,107,0,4,1,3,2455053,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS SINGHI MARI NORTH
99,66,165,0,5,3,2,2414302,10,110,2008,KISHANGANJ,20095,KISHANGANJ,PS SINGHIMUNI BAIRBANNA
42,73,115,0,3,1,2,2488889,10,110,2008,KISHANGANJ,20096,TERHA GACHH,PS SIRNIYA
24,37,61,0,3,1,2,2458276,10,110,2008,KISHANGANJ,20096,TERHA GACHH,PS SIRNIYA 190
73,84,157,0,4,1,3,2457919,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS SOHRABTOLA KATHALBARI
85,76,161,0,4,2,2,2477512,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS SONAPUR
55,77,132,0,4,3,1,2413787,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS  SRIPUR SERSAH WADI TOLA
69,78,147,0,4,2,2,2443976,10,110,2008,KISHANGANJ,20100,BAHADURGANJ,PS SUKHANI
82,82,164,0,4,1,3,2422997,10,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS SUNDAR BARI
29,48,77,0,3,3,0,2444711,10,110,2008,KISHANGANJ,20096,TERHA GACHH,PS SUNDERBARI
62,100,162,0,4,1,3,2422991,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS SURI BHITTA
94,65,159,0,7,5,2,2447382,10,110,2008,KISHANGANJ,20096,TERHA GACHH,PS SURSANI TOLA KHAJURBARI
28,22,50,0,2,1,1,2435044,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS TALBARI
54,55,109,0,4,3,1,2424883,10,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS  TANGEE
27,40,67,0,6,2,4,2475557,10,110,2008,KISHANGANJ,20095,KISHANGANJ,PS TANTI TOLA
61,74,135,0,5,1,4,2457265,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS TAPPU KANYA
88,77,165,0,6,2,4,2465692,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS TARA BARI
63,48,111,0,2,2,0,2452823,10,110,2008,KISHANGANJ,20097,POTHIA,P.S TARIA
107,143,250,0,4,3,1,2464612,10,110,2008,KISHANGANJ,20095,KISHANGANJ,PS TEGHARIA
349,336,685,0,17,9,8,2432871,10,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MS BISHANPUR
29,39,68,0,2,2,0,2432856,10,110,2008,KISHANGANJ,20095,KISHANGANJ,PS TEKNA
152,143,295,0,5,3,2,2449761,10,110,2008,KISHANGANJ,20098,THAKURGANJ,MS BOURI GACCH
48,38,86,0,4,2,2,2443962,10,110,2008,KISHANGANJ,20095,KISHANGANJ,PS TENGARMARI-2
303,407,710,0,18,9,9,2411689,10,110,2008,KISHANGANJ,20095,KISHANGANJ,MS CHAKLA GHAT
59,67,126,0,5,1,4,2421481,10,110,2008,KISHANGANJ,20095,KISHANGANJ,PS TENGERMARI-1
100,110,210,0,7,2,5,2479963,10,110,2008,KISHANGANJ,20100,BAHADURGANJ,M S CHANDRAGAON
49,39,88,0,3,1,2,2434356,10,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS TEPA TOLA
245,279,524,0,17,12,5,2419474,10,110,2008,KISHANGANJ,20097,POTHIA,MS CHATTAR GACHH
73,76,149,0,4,3,1,2423765,10,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS TETLIYA
280,318,598,0,15,9,6,2460925,10,110,2008,KISHANGANJ,20098,THAKURGANJ,MS CHURLI
51,48,99,0,3,0,3,2422990,10,110,2008,KISHANGANJ,20095,KISHANGANJ,PS THAUAPARA
144,193,337,0,9,7,2,2456533,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,MS DAHIBHAT JAGIR
43,39,82,0,2,0,2,2478488,10,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS THIM TOLA LOHAGARA
240,193,433,0,15,7,8,2451229,10,110,2008,KISHANGANJ,20097,POTHIA,MS DALUA HAT
212,307,519,0,11,5,6,2440793,10,110,2008,KISHANGANJ,20097,POTHIA,MS DAMAL  BARI
173,228,401,0,9,5,4,2446149,10,110,2008,KISHANGANJ,20095,KISHANGANJ,MS DAULA
236,334,570,0,10,6,4,2415416,10,110,2008,KISHANGANJ,20100,BAHADURGANJ,MS DESIATOLI
222,270,492,0,15,11,4,2480981,10,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MS DHANPAT GANJ
