bldStatus,bldStatusId,bldBlkTot,bldBlk,bndrywallType,bndryWallTypeId,clsrmsInst,othrooms,clsrmsGd,clsrmsGdPpu,clsrmsGdKuc,clsrmsGdTnt,clsrmsMin,clsrmsMinPpu,clsrmsMinKun,clsrmsMinTnt,clsrmsMaj,clsrmsMajPpu,clsrmsMajKuc,clsrmsMajTnt,toiletYn,toiletb,toiletbFun,toiletg,toiletgFun,toiletbCwsnFun,toiletgCwsnFun,urinalsb,urinalsg,handwashYn,handwashYnDesc,drinkWaterYn,drinkWaterYnDesc,handwashMealYn,handwashMealYnDesc,electricityYn,electricityYnDesc,solarpanelYn,solarpanelYnDesc,libraryYn,libraryYnDesc,playgroundYn,playgroundYnDesc,medchkYn,medchkYnDesc,rampsYn,rampsYnDesc,handrailsYn,handrailsYnDesc,stusHvFurnt,integratedLabYn,tinkeringLabYn,laptopTot,tabletsTot,tabletsFun,desktopFun,digiBoardTot,projectorTot,printerTot,internetYn,internetYnDesc,rainHarvestYnDesc,hmRoomYn,hmRoomYnDesc,ictLabYn,ictLabYnDesc,accessDthYn,accessDthYnDesc,rainHarvestYn,schoolId,yearId,yearDesc,stateId,districtId,districtName,blockId,blockName,schoolName
3-Government,3,1,1,5-No Boundary walls,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,2,2-No,2,2-No,9,NA,100,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2443971,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,NPS MUSALDENGA II
3-Government,3,2,2,5-No Boundary walls,5,9,0,9,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,2,2,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,1,1-Yes,160,2,2,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2432575,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MS KUDHAILA
2-Rented,2,5,2,1-Pucca,1,13,0,13,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,0,0,4,4,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2437307,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,MADARSA RAHMANIYA BELWA
3-Government,3,2,2,5-No Boundary walls,5,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,9,NA,180,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2483980,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS  RAMNIAPOKHER
3-Government,3,5,2,1-Pucca,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,2,0,0,3,2,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2435036,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,UMS MANJHOK
3-Government,3,3,3,5-No Boundary walls,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2404980,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS MURGIHARA
3-Government,3,2,2,1-Pucca,1,7,1,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,70,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,1,1-Yes,9,NA,2,2-No,9,2498783,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,MADARSA RAFIQUL ULOOM KHAJURBARI
3-Government,3,3,3,5-No Boundary walls,5,22,3,10,0,0,0,4,0,0,0,8,0,0,0,1,2,2,2,2,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,210,1,2,1,0,0,1,0,0,1,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2410987,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MS KOCHGADH PURANDAHA
3-Government,3,6,6,1-Pucca,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,0,0,2,2,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2446963,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,UMS MARWA TOLI
3-Government,3,2,2,5-No Boundary walls,5,6,0,3,0,0,0,2,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,9,NA,140,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2473405,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS  DHOBI DANGA
3-Government,3,3,3,5-No Boundary walls,5,9,0,5,0,0,0,0,0,0,0,4,0,0,0,1,2,2,2,2,0,0,0,0,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,9,NA,100,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2407188,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS  RANGA BHITTA
3-Government,3,11,11,1-Pucca,1,11,11,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,140,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2460304,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,UMS KHUTAMANI
3-Government,3,0,0,1-Pucca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2410975,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,UMS BHELA GURI
3-Government,3,2,2,1-Pucca,1,7,2,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,100,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,1,1-Yes,9,NA,2,2-No,9,2453589,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,MADARSA RAHMANIYA BHORHA
3-Government,3,3,3,1-Pucca,1,15,2,11,0,0,0,4,0,0,0,0,0,0,0,1,4,4,4,4,0,0,2,2,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,80,1,2,0,0,0,1,0,0,1,1,1-Yes,NA,1,1-Yes,2,2-No,2,2-No,9,2477282,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MS KUDHAILI
4-Government School in a rent free building,4,1,1,5-No Boundary walls,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,2,2-No,9,NA,2,2-No,9,2436019,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,NPS MUSHARTOLA EKRA
3-Government,3,4,4,1-Pucca,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,50,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2460571,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,U.M.S. GULSAN BHITA
3-Government,3,2,2,2-Pucca but Broken,2,5,0,3,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,180,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2468123,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS MASJIDGARH
3-Government,3,1,1,1-Pucca,1,7,0,4,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,100,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2479966,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS RANGAMANI
3-Government,3,0,0,5-No Boundary walls,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2455060,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,UMS DAHGOAN BANSBARI
3-Government,3,2,0,2-Pucca but Broken,2,8,8,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,2-No,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2415528,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,MADARSA RAHMANIYA DAHIBHAT
3-Government,3,1,1,1-Pucca,1,17,0,15,0,0,0,0,0,0,0,2,0,0,0,1,3,3,2,2,0,0,1,0,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,9,NA,180,2,2,0,0,0,10,1,1,1,2,2-No,NA,1,1-Yes,1,1-Yes,1,1-Yes,9,2440794,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,MS KUSIYARI
3-Government,3,5,5,5-No Boundary walls,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2451721,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS NAIBASTI
3-Government,3,4,4,1-Pucca,1,10,0,6,0,0,0,1,0,0,0,3,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,1,1-Yes,2,2-No,2,2-No,9,NA,130,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2468862,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS MASTALIA
3-Government,3,2,2,1-Pucca,1,5,0,3,0,0,0,0,0,0,0,2,0,0,0,1,2,2,2,2,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,124,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2421493,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS RANI
3-Government,3,1,1,5-No Boundary walls,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,2,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,140,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2498660,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,MADARSA RASHIDIA FAIZUL QURAAN KHATIA PICHHLA
3-Government,3,1,1,1-Pucca,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,2,2,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2479222,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,MS KUWARI
3-Government,3,1,1,5-No Boundary walls,5,6,1,4,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,1,1-Yes,9,NA,2,2-No,9,2414037,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,NPS NANHETOLA KUMHIA
3-Government,3,1,1,5-No Boundary walls,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,80,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2439328,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,U.M.S MATIYA BHITTA
3-Government,3,2,2,5-No Boundary walls,5,8,0,5,0,0,0,3,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,86,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2440327,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS  RASIA DANGI
3-Government,3,8,8,5-No Boundary walls,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,2,2,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,80,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2431274,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,MADARSA RAZA -E- MUSTAFA KALUGHAT
3-Government,3,3,3,1-Pucca,1,21,0,19,0,0,0,0,0,0,0,2,0,0,0,1,2,2,2,2,0,0,2,2,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,9,NA,200,2,2,0,1,1,1,0,0,1,1,1-Yes,NA,1,1-Yes,2,2-No,2,2-No,9,2467350,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MS KUWARI KAIRI
3-Government,3,1,1,5-No Boundary walls,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2435040,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS NANKAR
3-Government,3,3,2,1-Pucca,1,8,0,5,0,0,0,3,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,2,2-No,9,NA,560,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2460513,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS MAUJA BARI
