schoolId,udiseschCode,schoolName,stateId,stateCd,districtId,districtCd,blockId,blockCd,villageId,villWardCd,clusterId,clusterCd,pincode,schLocRuralUrban,schCategoryId,schType,schMgmtId,classFrm,classTo,schoolStatus,schIdMerged,schMergedYear,stateName,districtName,blockName,clusterName,villageName,schMgmtDesc,schCatDesc,schLocDesc,schTypeDesc,schmgmtParentId,schBroadMgmtId,schMgmtDescSt,isOperational2018To19,isOperational2019To20,lgdStateId,isOperational2020To21,isOperational2021To22,isOperational2022To23,address,email,lgdurbanlocalbodyId,lgdurbanlocalbodyName,lgdwardId,lgdwardName,lgdvillageId,lgdvillName,lgdpanchayatId,lgdvillpanchayatName,lgdblockId,lgdblockName,lastmodifiedTime,sessionYear,keyFlag,yearId,schoolStatusName,isNewCY
2477007,******06406,"+2HIGH SCHOOL , BISHANPUR",110,10,2008,1008,20101,100827,1971000,100827064,1901122.0,1008270005,855101,1,5,3,1,6,12,0,,,BIHAR,KISHANGANJ,KOCHADHAMAN,MS BISHANPUR,BISHANPUR,Department of Education,Up. Pr. Secondary and Higher Sec,Rural,3-Co-educational,1,1,Department of Education,50,0,10,0,0,0,at-bishanpur po-bishanpur kochadhaman,gufranjamali098765@gmail.com,,,,,222828,Bishunpur,96820,Bishanpur,1824,Kochadhaman,2025-02-23 16:33:23.597,2026-27,,13,Operational,2
2405497,******02704,+2 RUSSELL HIGH SCHOOL,110,10,2008,1008,20100,100826,1970834,100826027,1901094.0,1008260002,855101,2,5,3,1,6,12,0,,,BIHAR,KISHANGANJ,BAHADURGANJ,M.S.BAHADURGANJ,BAHADUR GANJ,Department of Education,Up. Pr. Secondary and Higher Sec,Urban,3-Co-educational,1,1,Department of Education,50,0,10,0,0,0,RUSSELL HIGH SCHOOL BAHADURGANJ THANA ROAD,russell93027@gmail.com,249589,Bahadurganj-Town Panchayat,62549,Bahadurganj (NP) - Ward No.8,,,,,0,,2025-02-23 14:49:00.611,2026-27,,13,Operational,2
2438219,******14007,ADARSH PUBLIC SCHOOL,110,10,2008,1008,20100,100826,1962458,100826140,1901094.0,1008260002,855101,2,2,3,5,1,8,0,,,BIHAR,KISHANGANJ,BAHADURGANJ,M.S.BAHADURGANJ,NAGAR PANCHYAT BHADURGANJ,Private Unaided (Recognized) ,Primary with Upper Primary,Urban,3-Co-educational,5,3,Pvt. Unaided (Recognized),50,0,10,0,0,0,BAHADURGANJ BAHADURGANJ ,babluaps228@gmail.com,249589,Bahadurganj-Town Panchayat,62548,Bahadurganj (NP) - Ward No.7,,,,,0,,2020-08-21 15:10:33.999,2026-27,,13,Operational,2
2431886,******09602,ADARSH PUBLIC SCHOOL DHARAMGANJ,110,10,2008,1008,20095,100821,1958361,100821096,1900541.0,1008210005,855107,2,2,3,5,1,8,0,,,BIHAR,KISHANGANJ,KISHANGANJ,S.G.SING.M.S.KISHANGANJ,WARD NO. 11,Private Unaided (Recognized) ,Primary with Upper Primary,Urban,3-Co-educational,5,3,Pvt. Unaided (Recognized),50,0,10,0,0,0,"AT- DHARAMGANJ, WARD NO. 11, KISHANGANJ",gautamaps@gmail.com,249590,Kishanganj-Municipality,35818,Kishanganj (M) - Ward No.11,,,,,0,,2020-07-07 07:53:33.341,2026-27,,13,Operational,2
2505533,******04706,AL AMIN ACADEMY,110,10,2008,1008,20095,100821,1954988,100821047,1900538.0,1008210002,855107,1,2,3,5,1,8,0,,,BIHAR,KISHANGANJ,KISHANGANJ,U.M..S.LAHRA PHOOLWARI,WARD NO  8,Private Unaided (Recognized) ,Primary with Upper Primary,Rural,3-Co-educational,5,3,Pvt. Unaided (Recognized),50,50,10,50,50,50,Lahra Kishanganj Chakla,abaqui225@gmail.com,,,,,222939,Chakla,96807,Chakla,1823,Kishanganj,2026-02-21 11:01:44.246,2026-27,,13,Operational,2
2493530,******03212,AL ANJUMAN PUBLIC SCHOOL,110,10,2008,1008,20095,100821,1954973,100821032,1900538.0,1008210002,855107,1,2,3,5,1,8,0,,,BIHAR,KISHANGANJ,KISHANGANJ,U.M..S.LAHRA PHOOLWARI,CHAKLA,Private Unaided (Recognized) ,Primary with Upper Primary,Rural,3-Co-educational,5,3,Pvt. Unaided (Recognized),50,0,10,0,0,0,"Safa Nagar Phoolwari Road, lahra Kishanganj",NISHATNOOR.NR@GMAIL.COM,,,,,222939,Chakla,96807,Chakla,1823,Kishanganj,2021-01-21 12:41:04.963,2026-27,,13,Operational,2
2505532,******09203,AL FALAH NATIONAL ACADEMY,110,10,2008,1008,20096,100822,1970788,100822092,1901036.0,1008220255,855101,1,2,3,5,1,8,0,,,BIHAR,KISHANGANJ,TERHA GACHH,U M S JHUNKI MUSHARA 141,JHUNKI MATIYARI,Private Unaided (Recognized) ,Primary with Upper Primary,Rural,3-Co-educational,5,3,Pvt. Unaided (Recognized),50,50,10,50,50,50,Jhunki matiyari Terhagachh,,,,,,222247,Jhunki Musahara,96870,Jhun Ki Musahra,1826,Terhagachh,2026-02-23 10:51:13.222,2026-27,,13,Operational,2
2486057,******08108,ALFA PUBLIC SCHOOL,110,10,2008,1008,20100,100826,1971495,100826081,1901108.0,1008260016,855101,1,2,3,8,1,8,0,,,BIHAR,KISHANGANJ,BAHADURGANJ,U.MS KUMHAR TOLI,DESIA TOLI,Unrecognized,Primary with Upper Primary,Rural,3-Co-educational,8,4,Unrecognized,50,0,10,0,0,0,"ALFA PUBLIC SCHOOL, DESIA TOLI",,,,,,222666,Deshiatoli,96776,Desiya Toli,1821,Bahadurganj,2026-04-10 13:14:21.613,2026-27,,13,Operational,2
2449026,******04305,AL HABIB PUBLIC SCHOOL,110,10,2008,1008,20097,100823,1976100,100823043,1901051.0,1008230250,855117,1,2,3,8,1,8,0,,,BIHAR,KISHANGANJ,POTHIA,M.S SOHAGI DANGI,BUDHNAI,Unrecognized,Primary with Upper Primary,Rural,3-Co-educational,8,4,Unrecognized,50,0,10,0,0,0,VILL-DANGIBASTI PO-TAIYABPUR PS-POTHIA UIST-KISHANGANJ,ahpschooltbr@gmail.com,,,,,222597,Galgalia,96842,Budhnai,1825,Pothia,2023-05-29 15:07:51.430322,2026-27,,13,Operational,2
2430942,******10902,AL-HAQUE PUBLIC SCHOOL BHAGBAISA,110,10,2008,1008,20101,100827,1971044,100827109,1901122.0,1008270005,855101,1,1,3,5,1,5,0,,,BIHAR,KISHANGANJ,KOCHADHAMAN,MS BISHANPUR,BHAG BAISA,Private Unaided (Recognized) ,Primary,Rural,3-Co-educational,5,3,Pvt. Unaided (Recognized),50,0,10,0,0,0,at-bhagbaisa po-bishanpur kochadhaman,alhaqueschool@gmail.com,,,,,222813,Bhag Baisa,96820,Bishanpur,1824,Kochadhaman,2023-05-29 15:07:51.430322,2026-27,,13,Operational,2
