address,website,email,headMasterName,respName,estdYear,boardSec,boardHighSec,boardSecName,boardHighSecName,recogYearPri,recogYearUpr,recogYearSec,recogYearHsec,cwsnSchYn,cwsnSchYnDesc,shiftSchYn,shiftSchYnDesc,resiSchYn,resiSchDesc,resiSchTypeName,resiSchTypeId,schPhone,mediumOfInstrName1,mediumOfInstrName2,mediumOfInstrName3,mediumOfInstrName4,mediumOfInstrId1,mediumOfInstrId2,mediumOfInstrId3,mediumOfInstrId4,minorityYn,minorityYnDesc,anganwadiYn,anganwadiYnDesc,anganwadiStuB,anganwadiStuG,anganwadiTchTrained,cceYn,cceYnDesc,instructionalDays,noInspect,noVisitCrc,noVisitBrc,noVisitDis,smcYn,smcYnDesc,smdcYn,smdcYnDesc,approachRoadYnDesc,smdcSmcSameYnDesc,txtbkPriYnDesc,txtbkUprYnDesc,txtbkSecYnDesc,txtbkHsecYnDesc,spltrgYnDesc,suppMatRecdYnDesc,approachRoadYn,ppSecYN,ppSecDesc,schoolId,yearId,yearDesc,stateId,districtId,districtName,blockId,blockName,schoolName
BAHADURGANJ HARI BHASHA ,,,MD NASIR ALAM,MD NASIR ALAM,2006,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,0,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2443971,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,NPS MUSALDENGA II
BAHADURGANJ  GOPALPUR HAT ,,,PS NODHIYATOLI,SATYANARAYAN BOSAK,1955,2,0,2-State Board,NA,1955,1955,1955,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,2,2-No,0,0,0,0,0,2,2-No,2,2-No,1-Yes,,,,,,,,1,2,2-No,2432575,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MS KUDHAILA
MADARSA RAHMANIYA BELWA,,,MD IZHAR ALAM,MD IZHAR ALAM,1962,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,19-English,4-Hindi,NA,18,19,4,0,2,2-No,9,NA,0,0,9,2,2-No,131,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2437307,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,MADARSA RAHMANIYA BELWA
VILL-RAMNIAPOKHAR PO-POTHIA DIST-KISHANGANJ 855117,,umsramnia123@gmail.com,MD FERAQUE ALAM ,MD FERAQUE ALAM,1972,0,0,NA,NA,1972,2009,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,25,12,10,3,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2483980,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS  RAMNIAPOKHER
UMS MANJHOK PO MANORA KISHANGANJ,,nawalkishorsharma67@gmail.com,NAWAL KISHOR SHARMA,NAWAL KISHOR SHARMA,1960,0,0,NA,NA,1960,2010,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,19-English,18-Urdu,NA,4,19,18,0,2,2-No,2,2-No,0,0,9,2,2-No,132,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2435036,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,UMS MANJHOK
barchondi thakurganj kishanganj,,npsmurgihara@gmail.com,MD MUZAMMIL HUSSAIN,MD MUZAMMIL HUSSAIN,2012,0,0,NA,NA,,,,,2,2-No,1,1-Yes,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,2,2-No,132,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2404980,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS MURGIHARA
Khajurbari Po Gamharia Kishanganj,,,Md Khuaja Hussain,Md Khuaja Hussain,2015,0,0,NA,NA,2015,2015,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,4-Hindi,19-English,NA,18,4,19,0,1,1-Yes,9,NA,0,0,9,1,1-Yes,150,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2498783,9,2022-23,110,2008,KISHANGANJ,20096,TERHA GACHH,MADARSA RAFIQUL ULOOM KHAJURBARI
AT-KOCHGHAR PURANDAHA  KOCHADHAMAN,,,Deo narayan mandal,DEO NARAYAN MANDAL,1958,2,0,2-State Board,NA,1958,2010,2014,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,129,11,5,5,1,1,1-Yes,1,1-Yes,1-Yes,,,,,,,,1,2,2-No,2410987,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MS KOCHGADH PURANDAHA
"UMS Marwatoli,P.O Chakla Ghat, Via Ditt- Kishanganj 855107",,umsmarwatoli@gmail.com,MD SHAMSHAD ALAM,MD SHAMSHAD ALAM,1952,0,0,NA,NA,1952,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,18-Urdu,19-English,NA,4,18,19,0,2,2-No,2,2-No,0,0,9,2,2-No,133,9,4,4,1,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2446963,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,UMS MARWA TOLI
"AT- DHOBIDANGA PO,PS-POTHIA DIST-KISHANGANJ",,umsdhobidanga@gmail.com,Jaikab Hembrom,Jaikab Hembrom,1976,0,0,NA,NA,1976,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,11,6,4,1,1,1-Yes,9,NA,2-No,,,,,,,,2,2,2-No,2473405,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS  DHOBI DANGA
