udiseschCode,yearId,yearDesc,stateName,districtName,blockName,villWardName,clusterName,assemblyCd,panDesc,cityDesc,municipalityDesc,assemblyCdDesc,parlCdDesc,schoolName,schLocRU,schLocDesc,schCategoryId,schCategoryDesc,schType,schTypeDesc,lowClass,highClass,schMgmtId,schMgmtCenterId,schMgmtStateDesc,schMgmtNationalDesc,schoolStatus,schStatusName,pincode,tchReg,tchCont,tchPart,tchCat1,tchCat2,tchCat3,tchCat4,tchCat5,tchCat6,tchCat7,tchCat8,tchCat10,tchCat11,totMale,totFemale,totNr,totalTeacher,tchAbove55,totTchBelowGraduate,totTchGraduateAbove,totTchPgraduateAbove,compM,compF,compT,tchInvlovedNonTchAssign,tchRecvdServiceTrng,partTimeInstructor,ftbPr,transptPr,uniformPr,ftbUpr,transptUpr,uniformUpr,totalGrant,totalExpediture,profQual1,profQual2,profQual3,profQual4,profQual5,profQual6,profQual7,profQual8,profQual10,profQual11,profQual12,lgdurbanlocalbodyId,lgdurbanlocalbodyName,lgdwardId,lgdwardName,lgdvillageId,lgdvillName,lgdpanchayatId,lgdvillpanchayatName,lgdblockId,lgdblockName,schoolId,stateId,districtId,blockId
******01203,9,2022-23,Bihar,KISHANGANJ,BAHADURGANJ,MUSALDENGA,U.M.S HARI BHASHA,1008002,NA,NA,NA,,,NPS MUSALDENGA II,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855101.0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,-1,,,,2443971,110,2008,20100
******01703,9,2022-23,Bihar,KISHANGANJ,BAHADURGANJ,KUDHAILA,UMS GOPALPUR HAT,1008002,NA,NA,NA,,,MS KUDHAILA,1,1-Rural,6,Pr. Up Pr. and Secondary Only,3,3-Co-educational,1,10,1,1,Department of Education,Department of Education,0,Operational,855101.0,7,0,0,0,1,6,0,0,0,0,0,0,0,4,3,0,7,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,4,0,0,0,0,2,0,0,0,,,,,,,-1,,,,2432575,110,2008,20100
******07701,9,2022-23,Bihar,KISHANGANJ,KISHANGANJ,BELWA,U.M.S.BELWA KASIPUR,1008001,NA,NA,NA,,,MADARSA RAHMANIYA BELWA,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,97,97,Madrasa Unaided (Recognized),Madrasa Private Unaided (Recognized) ,0,Operational,855107.0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2437307,110,2008,20095
******02701,9,2022-23,Bihar,KISHANGANJ,POTHIA,RAMNIAPOKHER,A.M.S POTHIA,1008001,NA,NA,NA,,,UMS  RAMNIAPOKHER,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855117.0,8,0,0,1,7,0,0,0,0,0,0,0,0,5,3,0,8,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,0,0,0,0,,,,,,,-1,,,,2483980,110,2008,20097
******05501,9,2022-23,Bihar,KISHANGANJ,KISHANGANJ,BALIA,U.M.S.JANAMJAY KAMAT,1008004,NA,NA,NA,,,UMS MANJHOK,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,733209.0,8,0,0,0,8,0,0,0,0,0,0,0,0,5,3,0,8,0,3,3,2,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0.0,0,4,1,0,0,0,0,3,0,0,0,,,,,,,-1,,,,2435036,110,2008,20095
******07504,9,2022-23,Bihar,KISHANGANJ,THAKURGANJ,BARCHOUNDI,M.S BARCHAUNDI,1008003,NA,NA,NA,,,NPS MURGIHARA,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855107.0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,1,0,0,,,,,,,-1,,,,2404980,110,2008,20098
******01106,9,2022-23,Bihar,KISHANGANJ,TERHA GACHH,KHAJURBARI,M S GAMHARIA,1008002,NA,NA,NA,,,MADARSA RAFIQUL ULOOM KHAJURBARI,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,97,97,Madrasa Unaided (Recognized),Madrasa Private Unaided (Recognized) ,0,Operational,854333.0,6,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,6,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,5,0,0,0,0,0,,,,,,,-1,,,,2498783,110,2008,20096
******06901,9,2022-23,Bihar,KISHANGANJ,KOCHADHAMAN,KOCHGADH PURANDAHA,M S ANDHASUR,1008004,NA,NA,NA,,,MS KOCHGADH PURANDAHA,1,1-Rural,6,Pr. Up Pr. and Secondary Only,3,3-Co-educational,1,10,1,1,Department of Education,Department of Education,0,Operational,855115.0,13,0,0,1,2,7,0,2,0,1,0,0,0,11,2,0,13,0,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8,1,3,0,0,0,1,0,0,0,0,,,,,,,-1,,,,2410987,110,2008,20101
******00301,9,2022-23,Bihar,KISHANGANJ,KISHANGANJ,MARWA TOLI,M.S MAHINGAON,1008004,NA,NA,NA,,,UMS MARWA TOLI,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855107.0,11,0,0,1,0,10,0,0,0,0,0,0,0,8,3,0,11,0,4,4,3,1,0,0,8,0,0,0,0,0,0,0,0,0.0,0.0,5,1,1,1,3,0,0,0,0,0,0,,,,,,,-1,,,,2446963,110,2008,20095
******02301,9,2022-23,Bihar,KISHANGANJ,POTHIA,DHOBI DANGA,A.M.S POTHIA,1008001,NA,NA,NA,,,UMS  DHOBI DANGA,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855117.0,6,0,0,0,1,5,0,0,0,0,0,0,0,5,1,0,6,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4,0,2,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2473405,110,2008,20097
******01201,9,2022-23,Bihar,KISHANGANJ,POTHIA,RANGA BHITTA,M.S. GIRLS GILHABARI,1008001,NA,NA,NA,,,UMS  RANGA BHITTA,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855117.0,6,0,0,0,1,5,0,0,0,0,0,0,0,5,1,0,6,0,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,1,0,2,0,0,0,3,0,0,0,0,,,,,,,-1,,,,2407188,110,2008,20097
